#{"t_start": 1783133417.3466227, "env_id": "None"}
r,l,t
90.76,528,18285.994755
178.44,1000,18338.258819
169.73,1000,18391.047283
90.16,545,18420.559851
143.62,748,18460.210631
144.03,753,18500.119214
89.31,555,18530.118713
176.57,1000,18582.374965
176.96,1000,18634.613989
143.85,740,18673.859906
143.48,755,18713.865979
177.21,1000,18766.119194
144.01,813,18809.018216
143.79,792,18850.883477
144.31,794,18892.843923
176.92,1000,18945.114955
148.02,845,18990.129643
179.11,1000,19042.387662
143.63,738,19081.54826
143.77,786,19123.104524
143.83,833,19167.023989
176.6,1000,19219.284163
90.58,551,19249.088817
179.12,1000,19301.395846
174.55,1000,19353.653881
179.22,1000,19405.901552
177.66,1000,19458.160088
177.35,1000,19510.400082
179.22,1000,19562.656881
172.46,1000,19615.319984
165.26,1000,19667.577657
90.58,588,19699.231211
143.69,760,19739.48737
179.04,1000,19791.74821
143.64,820,19835.190891
143.76,760,19875.439945
176.96,974,19926.405975
166.98,1000,19978.665292
176.36,1000,20030.913376
177.98,1000,20083.168141
144.03,759,20123.380687
175.22,1000,20175.642966
143.68,770,20216.872857
177.25,1000,20269.13513
176.54,1000,20321.397393
143.68,783,20362.802541
177.150001,981,20414.09702
177.37,1000,20466.337991
169.78,1000,20518.599178
177.65,1000,20570.848667
171.64,1000,20623.111841
143.51,775,20664.119583
177.85,1000,20716.362723
178.21,1000,20768.621859
166.39,1000,20821.342783
160.440001,1000,20873.601892
144.1,772,20914.456607
175.94,1000,20966.708078
177.91,1000,21018.968548
177.6,1000,21071.220116
179.58,1000,21123.483354
183.34,1000,21175.7368
178.2,1000,21227.987823
143.78,717,21266.098476
169.6,1000,21318.342706
143.91,756,21358.407084
144.08,789,21400.739079
143.79,753,21440.632203
177.42,1000,21492.893581
178.39,1000,21545.148024
143.68,815,21588.141447
181.46,1000,21640.408299
143.93,744,21679.870202
173.46,1000,21732.134128
163.53,1000,21784.387926
170.8,1000,21836.652246
177.56,1000,21888.893636
180.48,1000,21941.144361
178.75,1000,21993.814979
143.71,779,22035.033093
180.18,1000,22087.288126
181.34,1000,22139.553869
184.26,1000,22191.809211
143.86,789,22233.507428
143.71,780,22274.754755
176.99,1000,22327.019062
178.650001,1000,22379.268839
143.79,770,22420.030983
143.57,749,22459.734794
176.64,1000,22511.998316
173.45,1000,22564.255526
182.9,1000,22617.018308
179.38,1000,22669.28583
182.98,1000,22721.539853
177.11,1000,22773.793497
177.51,1000,22826.059987
177.17,1000,22879.093241
175.07,1000,22932.192932
180.05,1000,22984.457819
178.85,1000,23036.782901
166.27,1000,23089.092996
163.13,1000,23141.3566
177.36,1000,23194.005066
175.6,1000,23246.256956
178.31,1000,23298.507664
177.43,1000,23350.844134
181.26,1000,23403.098739
144.26,825,23446.594753
177.5,1000,23498.842369
143.5,758,23538.990266
178.05,1000,23591.251947
144.0,774,23632.215084
172.87,1000,23684.465014
173.66,1000,23736.720644
175.96,999,23789.487215
161.06,1000,23841.748101
175.69,1000,23894.00814
9.94,131,23902.826886
177.38,1000,23955.085699
172.36,1000,24007.334142
143.98,787,24048.947747
177.81,1000,24101.18687
143.69,801,24143.489918
143.89,798,24185.709214
179.04,1000,24237.980053
165.11,1000,24290.234764
144.01,787,24331.902805
173.16,1000,24384.162679
10.71,106,24392.124484
156.27,1000,24444.385188
144.08,802,24486.738316
162.89,1000,24539.002252
172.93,1000,24591.350778
176.84,1000,24643.606313
179.24,1000,24695.863525
177.04,991,24747.661435
179.03,1000,24799.917155
89.81,555,24829.92821
175.31,1000,24882.179589
143.88,830,24925.9337
143.82,799,24968.147488
143.85,843,25013.203596
143.56,831,25057.005427
10.68,112,25064.853401
144.22,815,25107.865779
164.93,1000,25160.108441
143.77,843,25204.504307
169.68,1000,25256.76158
143.33,769,25297.462216
143.98,801,25339.774219
143.94,790,25381.529797
175.91,1000,25433.788974
143.79,807,25476.388003
143.64,776,25517.4474
170.02,1000,25569.755276
143.83,812,25613.141538
177.53,1000,25665.395007
143.57,754,25705.354573
144.06,781,25746.666095
180.26,1000,25798.928943
180.22,1000,25851.174614
177.6,1000,25903.432074
164.07,1000,25955.686121
144.03,776,25996.754082
170.95,1000,26049.015786
144.01,764,26089.458814
174.22,1000,26141.711061
143.33,852,26186.575962
10.01,131,26195.383518
177.07,1000,26247.652098
168.46,1000,26299.908223
143.78,774,26340.871879
183.06,1000,26393.121137
9.3,121,26401.426091
172.33,1000,26453.692894
143.83,886,26500.241958
173.46,1000,26552.493842
181.05,1000,26604.761491
178.5,1000,26657.00213
177.57,1000,26709.246725
143.82,801,26751.532185
143.89,731,26790.906827
169.38,1000,26843.157935
179.91,1000,26895.422325
175.18,1000,26947.684718
143.79,807,26990.298865
177.7,973,27041.20335
11.09,108,27048.859387
173.64,1000,27101.110086
143.71,735,27140.10672
177.42,1000,27192.351056
143.85,831,27236.158669
143.39,779,27277.43385
143.83,802,27319.802539
166.84,1000,27372.06411
10.75,121,27380.360073
174.3,1000,27433.073008
163.37,1000,27485.329855
178.72,1000,27537.57654
177.68,1000,27589.819481
178.8,1000,27642.086426
10.07,112,27649.941452
143.41,811,27692.741635
144.1,725,27731.233507
144.01,808,27773.895651
143.56,797,27816.001513
144.06,758,27856.165501
9.99,115,27864.175082
171.620001,1000,27916.445045
181.83,1000,27968.70379
171.85,1000,28021.385607
143.44,712,28059.253927
177.61,978,28110.397977
319.610001,1376,74.506012
319.590002,1450,149.253886
319.719997,1396,221.316401
319.549997,1488,297.965227
319.670003,1460,373.278674
10.57,115,381.288885
10.57,111,389.097555
319.569997,1367,459.763718
89.01,528,488.945095
143.4,765,529.47528
143.41,761,569.778358
144.53,725,608.288318
319.629998,1442,682.639739
144.23,711,720.426868
143.77,761,760.737961
319.639999,1332,829.580729
88.97,518,857.740272
319.639999,1360,928.004718
319.550004,1367,998.619021
177.85,1015,1051.626266
144.13,738,1091.258225
143.87,744,1130.706389
319.769999,1370,1201.467926
319.679997,1437,1275.568879
319.83,1381,1346.8764
88.99,562,1377.23885
177.59,1065,1432.73912
319.589997,1361,1503.050133
177.56,1006,1555.610946
319.680001,1403,1628.016773
319.669999,1362,1698.803581
319.779998,1366,1769.359633
319.579999,1398,1841.500303
319.590001,1401,1913.803727
319.810001,1331,1982.61327
143.78,815,2025.601475
88.69,536,2054.655147
88.69,559,2084.847604
319.670001,1346,2154.41207
319.750003,1330,2223.163028
319.549999,1287,2290.217966
319.640003,1336,2359.281836
144.12,771,2400.087835
319.570001,1328,2468.752237
144.28,815,2511.754445
89.24,519,2539.969826
143.98,756,2580.017895
319.570003,1337,2649.125314
319.590004,1306,2716.682241
319.729999,1307,2784.290089
143.6,750,2824.038004
143.4,808,2866.691806
319.709997,1373,2938.087382
319.679997,1402,3010.435404
319.519997,1364,3080.872921
143.9,765,3121.384975
319.630003,1283,3187.788697
143.86,785,3229.299913
319.560003,1378,3300.460494
319.689999,1360,3370.727338
319.669998,1408,3443.38204
144.18,721,3482.425994
319.629997,1314,3550.387073
319.640004,1322,3618.739281
319.579999,1324,3687.201012
319.610003,1369,3757.878985
319.639999,1340,3827.136234
319.709997,1320,3895.400245
319.640003,1361,3965.700612
319.590001,1420,4038.955729
319.599999,1288,4106.047118
319.610001,1297,4173.174613
319.720003,1358,4243.328403
319.649998,1315,4311.345251
319.639999,1343,4380.759821
319.560003,1338,4449.929969
319.599999,1379,4521.133825
319.569997,1358,4591.280534
177.4,1067,4646.893106
319.700003,1360,4717.604891
319.699999,1369,4788.306558
319.640001,1463,4863.714332
319.589997,1360,4933.973339
319.579999,1379,5005.176648
319.639997,1458,5080.340892
319.680003,1423,5153.750446
319.550003,1347,5224.727026
319.630003,1438,5299.250994
319.649997,1504,5376.698812
319.689999,1389,5448.408569
10.79,136,5457.45528
319.590001,1506,5535.01589
319.549999,1418,5608.2616
319.579998,1370,5679.023965
319.579997,1333,5747.934852
319.670003,1338,5817.144449
319.699997,1344,5887.087409
319.620003,1360,5957.349762
143.49,897,6004.446604
176.31,1115,6062.458695
319.719997,1421,6135.758475
319.730001,1420,6208.99601
319.699999,1380,6280.250675
319.580002,1360,6350.505853
319.609998,1359,6420.699399
319.580001,1355,6491.160146
319.689999,1369,6561.878092
319.630001,1401,6634.182249
319.670003,1427,6707.782457
319.619997,1415,6780.914466
319.749997,1417,6854.415964
319.700002,1350,6924.166824
319.600002,1340,6993.417835
319.569997,1431,7067.219069
319.569998,1373,7138.534006
319.590002,1339,7207.728756
319.679998,1426,7281.286827
319.600002,1526,7359.832279
319.649998,1382,7431.186543
319.500001,1352,7501.045508
319.620003,1375,7572.045873
319.639998,1405,7644.557434
319.659997,1339,7714.514437
319.659997,1392,7786.372119
319.529997,1251,7851.176918
319.63,1319,7919.370777
319.6,1347,7989.052884
319.559997,1331,8057.868958
319.670001,1326,8126.431841
319.569997,1317,8194.542328
319.650001,1313,8262.449559
319.500003,1373,8333.786327
319.639998,1399,8405.978356
319.650002,1394,8477.931892
319.6,1372,8548.76895
319.650003,1372,8619.686738
319.660002,1340,8688.947302
319.539997,1337,8758.047224
90.31,617,8791.163771
319.620001,1358,8861.305691
319.500001,1348,8931.497458
143.6,897,8978.58717
319.54,1325,9047.086821
319.529997,1308,9114.755212
319.54,1342,9184.115548
89.39,546,9213.676171
319.529998,1381,9284.984103
319.560002,1344,9354.450156
319.609998,1333,9423.356073
319.589999,1421,9497.068646
319.499999,1434,9571.015731
319.480004,1382,9642.362329
319.63,1320,9710.615973
319.52,1342,9779.954837
90.8,623,9813.353185
319.660003,1230,9877.115643
319.600004,1341,9946.415214
319.569998,1369,10017.10844
319.480004,1224,10080.971781
319.570003,1325,10149.480736
11.76,173,10160.370084
319.609999,1207,10222.975516
319.530001,1380,10294.222072
319.599997,1314,10362.235642
319.559997,1256,10428.029527
319.510003,1521,10506.341367
319.530004,1216,10569.394195
319.539998,1276,10635.443454
319.629999,1285,10702.585553
319.569997,1202,10764.928979
319.490001,1233,10828.82929
319.520003,1237,10892.941336
319.569999,1316,10960.989203
319.619999,1275,11026.990053
319.550001,1287,11093.599895
90.84,603,11126.017409
319.7,1263,11191.430098
319.539997,1453,11266.334776
319.460001,1298,11333.946807
319.510004,1323,11402.345361
319.540001,1210,11465.096084
319.539998,1284,11531.548249
319.580003,1453,11606.462961
319.590004,1385,11677.960413
319.579999,1331,11746.779139
319.540003,1226,11810.335263
319.569999,1191,11872.136436
319.560003,1291,11939.420058
319.51,1393,12011.336672
319.599998,1380,12082.600791
319.610002,1332,12151.460103
319.570004,1229,12215.225888
319.480004,1410,12287.982926
319.560004,1223,12351.385468
319.480004,1220,12414.634587
319.750001,1218,12477.785065
319.669999,1159,12537.987091
319.500001,1377,12609.105864
319.690001,1269,12674.817391
319.670003,1293,12741.727991
319.530004,1208,12804.380736
319.489998,1290,12871.133586
319.549997,1226,12934.679155
