#{"t_start": 1783133417.3466227, "env_id": "None"}
r,l,t
9.72,117,3394.500527
10.06,194,3406.478381
10.24,157,3416.590504
10.13,162,3426.956786
10.67,132,3435.810077
10.78,146,3445.363489
10.23,141,3454.678167
10.35,162,3465.029447
10.35,177,3476.131117
10.12,168,3486.800984
10.35,167,3497.417692
10.32,173,3508.337269
10.08,166,3518.90631
10.42,137,3528.001987
10.02,184,3539.453159
10.08,159,3549.652839
10.01,130,3558.422923
8.94,135,3567.420776
10.19,131,3576.234148
10.22,146,3585.771921
10.4,134,3594.73618
10.4,137,3603.853499
10.01,188,3615.522669
10.25,165,3626.080909
10.22,152,3635.938003
10.43,148,3645.599783
10.47,151,3655.394878
10.76,136,3664.447878
10.13,160,3674.687922
10.54,142,3684.051941
10.95,138,3693.210223
10.9,133,3702.115831
10.62,149,3711.836475
10.27,144,3721.298884
10.41,151,3731.100861
10.87,143,3740.5126
9.83,140,3749.7706
10.62,141,3759.071661
10.58,137,3768.176165
10.01,151,3777.98554
10.6,144,3787.435889
9.8,147,3797.041368
8.97,144,3806.495806
10.14,155,3816.512964
7.73,129,3825.210362
10.66,134,3834.157359
7.81,159,3844.354534
10.51,140,3853.600204
9.61,149,3863.310844
10.23,151,3873.114809
7.42,165,3883.618149
7.27,120,3891.880898
5.81,154,3901.845152
6.13,134,3910.786207
10.04,150,3920.541085
5.67,123,3928.951514
8.4,141,3938.269934
10.5,143,3947.670003
6.57,123,3956.058347
10.63,149,3965.765056
10.72,140,3975.025428
11.03,151,3984.830553
10.47,149,3994.90561
10.76,149,4004.61301
11.08,146,4014.172351
7.8,114,4022.123629
9.56,145,4031.64246
9.83,171,4042.444618
10.63,144,4051.897609
9.96,177,4063.013288
10.58,147,4072.622571
10.72,136,4081.674556
8.21,132,4090.532584
11.11,148,4100.182668
10.79,159,4110.382173
11.23,135,4119.399255
10.84,163,4129.790174
10.3,132,4138.651638
9.9,161,4148.942958
10.27,129,4157.636516
10.44,127,4166.253605
10.09,160,4176.500716
10.22,137,4185.60241
10.29,136,4194.65669
10.73,141,4203.96712
10.94,126,4212.522239
10.18,124,4220.9772
10.61,124,4229.42186
10.62,126,4237.97878
10.49,126,4246.541013
10.21,125,4255.051655
10.13,137,4264.163683
9.84,173,4275.065569
10.36,137,4284.174022
10.29,147,4293.791871
9.78,185,4305.283396
10.72,133,4314.193761
10.3,133,4323.10185
10.36,138,4332.255623
10.4,135,4341.271596
9.99,138,4350.413272
10.52,129,4359.118207
10.03,119,4367.318253
10.13,115,4375.334589
10.32,134,4384.291623
10.36,122,4392.64242
10.08,120,4400.906074
10.03,136,4409.964489
9.88,135,4418.968091
9.72,134,4427.917093
10.28,141,4437.226365
9.94,140,4446.482394
10.1,135,4455.489019
9.92,134,4464.451725
9.95,122,4472.809881
10.1,127,4481.41083
10.75,134,4490.366318
10.18,161,4500.664667
9.95,129,4509.386947
9.71,133,4518.302989
10.39,138,4527.452141
10.03,127,4536.067871
9.98,114,4544.016722
8.34,151,4553.824955
9.69,129,4562.522584
9.33,143,4571.93077
10.21,127,4580.536412
10.18,113,4588.870499
9.76,142,4598.223351
9.27,156,4608.269033
9.78,137,4617.360649
9.43,141,4626.667624
9.9,162,4637.023714
9.45,136,4646.09292
8.79,112,4653.954751
9.39,126,4662.498552
9.16,144,4671.953534
9.7,123,4680.356181
9.47,154,4690.314156
9.83,176,4701.354246
9.66,175,4712.363431
9.91,152,4722.209337
8.85,196,4734.266964
10.15,161,4744.570621
9.7,146,4754.129996
5.65,96,4761.190288
9.86,154,4771.14515
5.43,91,4777.952017
9.95,148,4787.605205
10.19,162,4797.964247
10.24,162,4808.320189
9.1,155,4818.318778
9.61,137,4827.424147
9.04,147,4837.035237
11.71,150,4846.782327
9.95,152,4856.633365
8.7,142,4866.000144
9.09,136,4875.049737
9.58,176,4886.114818
9.22,137,4895.195564
11.52,158,4905.35781
11.01,152,4915.207484
10.23,161,4925.502426
9.24,156,4935.551623
8.03,157,4945.656908
9.65,124,4954.095629
10.72,149,4963.817797
9.02,175,4974.816752
11.04,146,4984.381601
8.93,133,4993.288387
9.18,148,5002.941829
9.07,167,5013.55024
10.27,148,5023.220025
9.0,158,5033.364613
9.19,156,5043.428222
8.96,162,5053.793811
9.16,175,5064.787099
8.87,159,5074.987973
9.42,171,5085.78996
6.39,101,5093.102288
8.45,139,5102.309335
8.06,157,5112.422919
8.69,149,5122.121914
9.35,153,5132.02839
8.9,141,5141.343398
5.55,117,5149.448251
9.97,151,5159.247671
9.09,157,5169.342325
7.01,133,5178.257458
9.73,155,5188.708891
10.07,130,5197.453592
10.08,130,5206.203162
11.95,192,5218.056864
9.91,161,5228.35971
8.84,154,5238.32189
4.57,110,5246.081178
5.41,99,5253.283182
8.1,142,5262.639265
9.4,135,5271.639579
10.24,129,5280.350876
9.39,140,5289.607493
12.07,150,5299.368747
10.21,134,5308.331754
10.14,141,5317.635532
10.65,129,5326.340888
12.26,155,5336.337727
12.2,153,5346.245272
12.87,187,5357.860783
10.74,153,5367.752364
10.62,179,5378.95266
12.1,160,5389.201272
11.42,146,5398.767618
15.95,190,5410.51777
14.82,203,5422.923005
12.6,210,5435.679212
11.99,177,5446.788161
12.98,180,5458.045175
13.43,189,5469.753849
11.49,175,5480.753017
11.69,170,5491.493309
14.2,204,5503.953078
10.97,161,5514.260056
15.2,201,5526.573695
15.43,196,5538.629381
11.95,158,5548.782609
16.66,210,5561.534665
11.76,200,5573.781662
16.91,200,5586.038911
13.21,196,5598.099002
12.66,208,5610.760383
13.9,197,5622.875752
13.05,197,5634.976436
13.1,195,5646.970557
12.94,178,5658.136298
13.01,143,5667.550413
12.32,159,5677.767576
12.86,193,5689.685103
11.54,160,5699.941838
13.51,189,5711.651326
10.78,157,5721.739292
12.65,203,5734.145383
15.17,193,5746.055804
16.39,209,5758.760242
13.92,188,5770.423796
16.26,228,5784.078732
1.46,92,5791.329098
10.65,152,5801.19379
11.55,166,5811.763532
12.58,152,5821.610034
12.59,151,5831.418976
10.99,175,5842.420767
12.35,209,5855.118568
11.49,176,5866.18364
11.35,145,5875.689799
11.49,174,5886.641896
10.86,171,5897.443397
10.48,207,5910.045328
10.7,170,5920.795066
11.7,165,5931.310475
10.86,173,5942.218161
10.63,159,5952.418177
11.92,150,5962.179075
10.5,166,5972.739369
10.06,147,5982.341653
10.26,154,5992.281847
8.29,153,6002.197047
10.98,137,6011.318228
9.37,171,6022.119245
10.91,140,6031.370362
9.25,181,6042.679118
10.08,179,6053.884095
10.1,157,6063.99303
10.24,186,6075.521962
10.22,181,6086.813237
10.35,140,6096.073317
9.99,200,6108.336855
9.55,171,6119.13073
10.64,166,6129.693458
9.64,159,6139.889017
10.16,134,6148.853242
10.19,146,6158.419537
9.97,178,6169.573356
10.33,154,6179.532759
9.59,185,6191.040823
10.48,183,6202.467464
10.97,160,6212.729749
10.52,179,6223.940775
9.66,158,6234.094539
10.78,135,6243.111328
9.89,165,6253.620735
10.03,133,6262.513073
10.08,149,6272.211691
11.71,137,6281.329628
6.88,158,6292.208356
9.68,197,6304.315112
10.34,188,6315.965168
10.12,160,6326.23391
8.44,175,6337.243221
10.75,185,6348.7555
9.54,178,6359.90029
9.97,155,6369.91004
9.95,208,6382.559958
10.39,169,6393.734566
10.97,166,6404.290128
10.44,157,6414.393819
11.06,181,6425.697063
9.66,179,6436.90191
11.01,128,6445.553095
9.21,155,6455.559686
9.93,176,6466.618067
9.88,193,6478.521522
10.41,189,6490.223239
10.19,175,6501.234747
9.85,158,6511.389345
10.09,176,6522.438766
10.65,173,6533.332659
10.39,180,6544.589626
9.78,166,6555.140357
9.88,176,6566.198675
10.7,150,6575.959886
9.99,155,6585.964835
9.83,169,6596.672614
9.92,173,6607.565459
9.84,167,6618.176107
10.24,167,6628.795119
10.0,176,6639.859779
9.89,180,6651.109219
10.59,165,6661.614595
9.84,167,6672.221318
11.45,174,6683.179193
10.09,195,6695.19137
10.14,171,6705.993156
10.46,187,6717.603413
9.36,174,6728.563114
10.14,149,6738.269929
10.05,178,6749.424746
9.71,148,6759.091834
9.75,154,6769.050647
9.43,170,6779.80587
10.72,148,6789.451575
