label_a,label_b,metric,mean_a,std_a,ci_a,n_a,mean_b,std_b,ci_b,n_b,normal_a,normal_b,test_name,statistic,p_value,p_holm,hedges_g,cliffs_delta,secondary_test_name,secondary_p_value
Q-Learning,DQN,final_reward,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,8.05,0.0,"(8.05, 8.05)",10,False,False,mann-whitney,45.0,0.36812025069351895,0.36812025069351895,-0.4283172463948205,-0.1,,
Q-Learning,DQN,cum_env_steps,333920.6,2244.537873742982,"(332314.95433126553, 335526.2456687344)",10,110786.2,4661.614093375336,"(107451.48216525138, 114120.91783474862)",10,True,True,welch,136.3809561714022,7.558530701059204e-22,1.5117061402118409e-21,58.414315607960255,1.0,,
