exp_id,run_id,algorithm,config_hash,seed,n_train_episodes,train_wall_time_s,stop_reason,first_success_episode,post_convergence_std,cum_env_steps,probe_max_q,eval_mean_reward,eval_std_reward,eval_median_reward,eval_mean_steps,eval_median_steps,eval_success_rate,eval_mean_illegal,eval_mean_episode_seconds,memory_bytes,alpha,gamma,exploration,decay_type,decay_frac,epsilon_decay,reward_shaping,episodes_to_threshold,converged
e5,dqn__21473b3f__s42,dqn,21473b3f,42,5000,1548.1047123970002,completed,33,3.581884978611122,114229,"[-46.912096150716145, -2.8122734864552816, 5.3071595122416815, 5.785653718312582, 6.369817852973938, 6.139170559247335, 6.186658024787903, 6.1419729312260944, 6.167338053385417, 6.12484655380249, 6.1317209561665855, 6.157976206143697, 6.147152201334635, 6.168346110979716, 6.167700354258219, 6.174277432759603, 6.131776626904806, 6.156246217091878, 6.167734305063884, 6.161609752972921, 6.1598086754481, 6.1438478628794355, 6.124307036399841, 6.143447264035543, 6.157203261057536, 6.168248812357585, 6.166283694903056, 6.159421714146932, 6.170786229769389, 6.158912102381389, 6.151739350954691, 6.165608994166056, 6.132682808240255, 6.166507236162821, 6.1897913376490274, 6.161000005404154, 6.136774929364522, 6.161508425076803, 6.173167808850606, 6.146863079071045, 6.170986048380533, 6.189980228741963, 6.145909206072489, 6.162501390775045, 6.170602575937907, 6.194722334543864, 6.146986468633016, 6.161041458447774, 6.1521106640497845, 6.162124419212342]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.024833781049992468,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,500,True
e5,dqn__21473b3f__s43,dqn,21473b3f,43,5000,1454.7812304399995,completed,10,3.0495245531065986,108153,"[-24.444236183166502, 0.8572016795476277, 6.2272472262382506, 6.366618291536967, 6.343489074707032, 6.279690480232238, 6.297873369852701, 6.321895138422648, 6.278761212031046, 6.325506059328715, 6.2652808904647825, 6.344424406687419, 6.309823083877563, 6.30759813785553, 6.328028782208761, 6.293585149447123, 6.347789104779562, 6.3465718746185305, 6.327085558573405, 6.296325063705444, 6.3153038422266645, 6.293027512232462, 6.311016201972961, 6.333660332361857, 6.326222221056621, 6.306502278645834, 6.3173154354095455, 6.295363442103068, 6.289037871360779, 6.315953294436137, 6.287113245328268, 6.313126222292582, 6.324948795636495, 6.305574901898702, 6.2829090595245365, 6.283902970949809, 6.277644197146098, 6.286396559079488, 6.309000007311503, 6.3340965191523235, 6.308708302179972, 6.282716965675354, 6.305558967590332, 6.302753233909607, 6.317713459332784, 6.302298378944397, 6.313216670354207, 6.299680789311727, 6.310204100608826, 6.314210104942322]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.025941808770021453,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,400,True
e5,dqn__21473b3f__s44,dqn,21473b3f,44,5000,1491.576429627,completed,11,3.0799188300992606,110081,"[-31.8223295211792, 10.342931127548217, 7.3003376166025795, 6.494708291689554, 6.190208689371745, 6.167251499493917, 6.141373531023661, 6.1641997734705605, 6.123403040568034, 6.118001532554627, 6.1692473491032915, 6.176136120160421, 6.1694477796554565, 6.189655240376791, 6.160672736167908, 6.19423725605011, 6.188335943222046, 6.126424336433411, 6.201100413004557, 6.170063988367716, 6.1736932357152305, 6.13429860273997, 6.191596619288126, 6.187895743052165, 6.161091820398966, 6.115567819277445, 6.203906416893005, 6.166546948750814, 6.133492469787598, 6.10937241713206, 6.158198459943136, 6.173606363932292, 6.174007042249044, 6.170535031954447, 6.162405379613241, 6.167932248115539, 6.141104586919149, 6.156868211428324, 6.190727639198303, 6.149845314025879, 6.149573270479838, 6.148549016316732, 6.172237499554952, 6.190435894330343, 6.163196802139282, 6.19110468228658, 6.164227819442749, 6.1541182200113935, 6.204886817932129, 6.122900334993998]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.020203993960003573,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,400,True
e5,dqn__2b046773__s42,dqn,2b046773,42,5000,2493.0123485669997,completed,33,3.9450728763864427,175868,"[-58.63544286092122, -79.36955642700195, -79.34745712280274, -80.61837895711263, -84.94117228190105, -75.4965658823649, -57.38855374654134, -44.424989525477095, -31.65362250804901, -20.722231038411458, -8.317649598916372, -0.8271760548154513, 6.827818703651428, 7.7776128133138025, 6.09242265621821, 6.065043342113495, 6.268274827798208, 6.115568463007609, 6.146729779243469, 6.1520500103632605, 6.1804600556691485, 6.166883405049642, 6.156586774190267, 6.157995541890462, 6.170945167541504, 6.166405924161276, 6.161235396067301, 6.167015250523885, 6.157092356681824, 6.166797749201456, 6.169223729769389, 6.167325592041015, 6.1630946636199955, 6.149399828910828, 6.171422084172566, 6.148301919301351, 6.153573028246561, 6.158985209465027, 6.149425768852234, 6.134993863105774, 6.14266144434611, 6.149106502532959, 6.164939252535502, 6.158269643783569, 6.141302522023519, 6.169109344482422, 6.158028237024943, 6.135372495651245, 6.149436513582866, 6.169002215067546]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.019804562859990257,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,1700,True
e5,dqn__2b046773__s43,dqn,2b046773,43,5000,2758.750774416,completed,10,2.6851256953818754,194343,"[-58.518149820963544, -79.17517445882162, -78.94856745402018, -83.62776641845703, -80.49792722066243, -48.29382664759954, -30.491870005925495, -28.767537943522136, -6.711106999715169, -2.306530817349752, -4.729659120241801, -4.968194858233134, -3.3097078005472818, -0.5489612102508545, 3.224879582722982, 6.08792596856753, 6.759720317522684, 6.413226787249247, 6.372850338617961, 6.365133325258891, 6.283396943410238, 6.289371840159098, 6.303270546595256, 6.297952262560527, 6.320654678344726, 6.3092230717341105, 6.311051917076111, 6.31102667649587, 6.331255618731181, 6.3192954937616985, 6.31677847703298, 6.313091079394023, 6.319988083839417, 6.323898140589396, 6.307247773806254, 6.288037880261739, 6.288312029838562, 6.307890836397807, 6.307120013236999, 6.307293518384298, 6.307577419281006, 6.291523162523905, 6.301335191726684, 6.290052310625712, 6.29065580368042, 6.283474095662435, 6.301993091901143, 6.3164494434992475, 6.28427533308665, 6.322337325414022]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.021784861010037276,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,1700,True
e5,dqn__2b046773__s44,dqn,2b046773,44,5000,2579.0066870039996,completed,11,3.7483863194713534,182157,"[-58.09220937093099, -82.84540379842123, -88.74376754760742, -86.3377092997233, -86.39013417561848, -81.62554702758788, -46.98525002002716, -27.349135885139308, -21.238314823806284, -16.96817147731781, -10.123685385783514, -2.276841902732849, 5.559514812628428, 4.7958713610967, 4.794715082645416, 5.552035625775655, 5.72714687983195, 6.095761028925578, 6.188805747032165, 6.121608289082845, 6.133618807792663, 6.108573762575785, 6.140817221005758, 6.132141923904419, 6.128420575459798, 6.149966216087341, 6.157324719429016, 6.160579617818197, 6.150959761937459, 6.156872526804606, 6.149706443150838, 6.162857468922933, 6.157824341456095, 6.151477869351705, 6.145844960212708, 6.155700341860453, 6.1559776624043785, 6.164669879277548, 6.15883154074351, 6.151563350359599, 6.151508108774821, 6.145087989171346, 6.173249626159668, 6.14729737440745, 6.167304944992066, 6.168507695198059, 6.152474562327067, 6.161082847913106, 6.154737170537313, 6.162667258580526]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.02499184074994446,2101312,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,1600,True
e5,dqn__44fc15b6__s42,dqn,44fc15b6,42,5000,3431.087982196,completed,33,3.589693580237734,246896,"[-58.5141414642334, -83.44388249715169, -89.55758921305339, -89.05196634928386, -88.32440516153972, -89.77689030965169, -86.96712163289388, -83.63862012227376, -78.72044658660889, -60.51094729105632, -24.63902526696523, -16.467303437180817, -14.026712820927303, -9.742572351296742, -3.031783769528071, 2.066784102966388, 5.855113895734151, 3.742400844891866, 2.777622942129771, 3.257512682676315, 2.835440222422282, 2.298708772659302, 2.1159072637557985, 2.3834694623947144, 2.7548594872156777, 3.1422428210576374, 3.775897804896037, 4.517839074134827, 5.3959923903147375, 6.201552041371664, 6.35300452709198, 6.220218070348104, 6.031612743933995, 6.004989020029703, 6.017790283759435, 6.070532608032226, 6.147627671559651, 6.161423182487487, 6.161982067426046, 6.14444211324056, 6.156905357042948, 6.163236451148987, 6.1594635089238485, 6.147989877065023, 6.107395768165588, 6.14055106639862, 6.1648868481318155, 6.159214528401693, 6.160260025660197, 6.164597256978353]",8.01,2.540559868305497,8.0,12.99,13.0,1.0,0.0,0.023413556059995243,1742912,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,2200,True
e5,dqn__44fc15b6__s43,dqn,44fc15b6,43,5000,3224.0148000140002,completed,10,2.842868269899258,234969,"[-58.7897445678711, -82.03558654785157, -84.29619750976562, -85.3006368001302, -85.78220901489257, -87.27886403401693, -87.34479370117188, -82.44525960286458, -75.15152683258057, -62.62019141515096, -47.03754050731659, -32.917172495275736, -24.162281958262124, -17.29864560365677, -11.374084528287252, -4.793359605471293, 2.113270616531372, 6.766242188215256, 6.952619274457295, 6.516851309935252, 6.28894713918368, 6.01696138381958, 6.120956909656525, 6.372312331199646, 6.29379399617513, 6.318734685579936, 6.311948863665263, 6.301583456993103, 6.320105934143067, 6.293001516660055, 6.276766475041708, 6.289438907305399, 6.289504416783651, 6.296607303619385, 6.292143225669861, 6.309281587600708, 6.308602404594422, 6.29614356358846, 6.2989847977956135, 6.300659044583639, 6.289890003204346, 6.287245257695516, 6.296168828010559, 6.300918904940287, 6.284548401832581, 6.299980862935384, 6.297768568992614, 6.296073627471924, 6.303341746330261, 6.302486173311869]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.024090904029999364,1742912,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,2200,True
e5,dqn__44fc15b6__s44,dqn,44fc15b6,44,5000,3610.59613898,completed,2,3.0713352145280397,254776,"[-56.821621068318684, -78.91501592000326, -84.24861551920573, -86.99891535441081, -90.40979868570963, -89.94468663533529, -91.67200876871745, -90.75773696899414, -86.35178731282552, -78.73121198018391, -63.94043006102244, -41.91214710871379, -34.151814206441244, -30.757468491295974, -29.61052999595801, -24.603296275933584, -19.907349747419357, -13.907763655980428, -9.164495348930359, -1.1649266799290976, 3.157314556464553, 4.833294645945231, 3.726260366042455, 3.4750041514635086, 3.45844277938207, 3.874434107542038, 4.522009428342184, 4.630643753210704, 4.627251672744751, 4.921170035998027, 5.1557182709376015, 5.339734816551209, 5.359012881914775, 5.45177800655365, 5.536641605695089, 5.714540982246399, 5.946662290891012, 6.127861777941386, 6.219582684834799, 6.186656936009725, 6.115270320574442, 6.173415398597717, 6.159892694155375, 6.153849633534749, 6.151177024841308, 6.138154157002767, 6.1657804648081465, 6.1532872200012205, 6.155355771382649, 6.144133520126343]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.022915269229988555,1742912,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,3300,True
e5,dqn__71906c85__s42,dqn,71906c85,42,5000,1524.063612422,completed,12,2.598153190248796,116255,"[-40.550113169352215, -17.59815107981364, 10.541354926427205, 7.004804650942485, 6.296065322558085, 6.158181778589884, 6.148830119768778, 6.1696081002553305, 6.158983413378397, 6.121516648928324, 6.163942233721415, 6.130108133951823, 6.159400820732117, 6.154898722966512, 6.15055448214213, 6.185534580548604, 6.162271626790365, 6.158764274915059, 6.167756621042887, 6.152078413963318, 6.143993560473124, 6.147345344225566, 6.142861938476562, 6.16124393939972, 6.137102087338765, 6.144576032956441, 6.205058368047078, 6.190801604588827, 6.118676400184631, 6.162691648801168, 6.15164057413737, 6.154659128189087, 6.154614043235779, 6.147231125831604, 6.154180034001668, 6.187289754549663, 6.174890780448914, 6.176216077804566, 6.1693361361821495, 6.185001293818156, 6.146589342753092, 6.161160492897034, 6.181824096043905, 6.154746015866597, 6.1669055938720705, 6.173869983355204, 6.177068670590718, 6.176860189437866, 6.160849976539612, 6.1661885499954225]",8.05,2.491906089642216,8.0,12.95,13.0,1.0,0.0,0.029437099000051602,1742912,0.15,0.99,epsilon_greedy,exp,0.6,0.9995,none,500,True
