label_a,label_b,metric,mean_a,std_a,ci_a,n_a,mean_b,std_b,ci_b,n_b,normal_a,normal_b,test_name,statistic,p_value,p_holm,hedges_g,cliffs_delta,secondary_test_name,secondary_p_value
Q-Learning,Double QL,episodes_to_threshold,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,3170.0,419.12607490666414,"(2870.1752678357316, 3469.8247321642684)",10,True,True,welch,-8.322124832808745,1.6113456434761112e-07,3.2226912869522225e-07,-3.564509592538482,-1.0,,
Q-Learning,Double QL,post_convergence_std,3.1792613419104034,0.39399283670033913,"(2.8974158452668797, 3.461106838553927)",10,3.5340473368270438,0.3241388952382984,"(3.302172339618896, 3.7659223340351917)",10,True,True,welch,-2.1990363317906643,0.04170284068864806,0.04170284068864806,-0.9418851863536569,-0.58,,
