label_a,label_b,metric,mean_a,std_a,ci_a,n_a,mean_b,std_b,ci_b,n_b,normal_a,normal_b,test_name,statistic,p_value,p_holm,hedges_g,cliffs_delta,secondary_test_name,secondary_p_value
potential,native,episodes_to_threshold,1580.0,168.65480854231356,"(1459.3516179811147, 1700.6483820188853)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,True,True,welch,-1.0259606014410798,0.32404988355843467,1.0,-0.43943661971830994,-0.2,,
potential,native,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
naive_distance,native,episodes_to_threshold,1410.0,202.48456731316588,"(1265.151266416466, 1554.848733583534)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,True,True,welch,-2.2801256637216296,0.038666746887763614,0.2320004813265817,-0.9766171457182833,-0.57,,
naive_distance,native,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
step_penalty,native,episodes_to_threshold,2000.0,346.41016151377545,"(1752.1930986565844, 2247.8069013434156)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,True,True,welch,1.8264256794215357,0.08445786307044922,0.4222893153522461,0.7822896177537181,0.52,,
step_penalty,native,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
