label_a,label_b,metric,mean_a,std_a,ci_a,n_a,mean_b,std_b,ci_b,n_b,normal_a,normal_b,test_name,statistic,p_value,p_holm,hedges_g,cliffs_delta,secondary_test_name,secondary_p_value
ε-linear,ε-exp,episodes_to_threshold,1320.0,122.92725943057184,"(1232.0631360321202, 1407.9368639678798)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,False,True,mann-whitney,11.0,0.003033632272001091,0.027302690448009818,-1.3767132252199763,-0.78,,
ε-linear,ε-exp,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
ε-linear,ε-exp,first_success_episode,35.4,24.272526764957032,"(18.03648035290116, 52.76351964709883)",10,26.4,21.747030448622944,"(10.843111583838867, 41.95688841616113)",10,True,True,welch,0.8732972180956579,0.3941386003686317,1.0,0.3740482597385573,0.27,,
boltzmann,ε-exp,episodes_to_threshold,2080.0,415.79909678700466,"(1782.555244609702, 2377.444755390298)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,True,True,welch,2.118613836961312,0.0485548593571035,0.33988401549972447,0.9074388448201867,0.5,mann-whitney,0.06073238401640633
boltzmann,ε-exp,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
boltzmann,ε-exp,first_success_episode,12.1,15.183690079965555,"(1.2382424429099892, 22.96175755709001)",10,26.4,21.747030448622944,"(10.843111583838867, 41.95688841616113)",10,False,True,mann-whitney,25.0,0.0634225473658544,0.3805352841951264,-0.7302581419040802,-0.5,,
ucb,ε-exp,episodes_to_threshold,1850.0,177.95130420052186,"(1722.7013056105247, 1977.2986943894753)",10,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,True,True,welch,1.0939577482483087,0.2937106383444695,1.0,0.4685609704014529,0.39,,
ucb,ε-exp,final_reward,8.05,0.0,"(8.05, 8.05)",10,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,False,False,mann-whitney,55.0,0.36812025069351895,1.0,0.4283172463948205,0.1,,
ucb,ε-exp,first_success_episode,7.9,6.136412270663987,"(3.510275104188927, 12.289724895811073)",10,26.4,21.747030448622944,"(10.843111583838867, 41.95688841616113)",10,False,True,mann-whitney,17.0,0.013839592491786517,0.11071673993429214,-1.1089235595874458,-0.66,,
