label_a,label_b,metric,mean_a,std_a,ci_a,n_a,mean_b,std_b,ci_b,n_b,normal_a,normal_b,test_name,statistic,p_value,p_holm,hedges_g,cliffs_delta,secondary_test_name,secondary_p_value
Q-Learning,SARSA,episodes_to_threshold,1710.0,363.47092196090614,"(1449.9885658493167, 1970.0114341506833)",10,3910.0,558.6690532964137,"(3510.3522345624424, 4309.647765437558)",10,True,True,welch,-10.438126136362756,2.111121179821824e-08,6.333363539465473e-08,-4.47082944424354,-1.0,,
Q-Learning,SARSA,post_convergence_std,3.1792613419104034,0.39399283670033913,"(2.8974158452668797, 3.461106838553927)",10,3.537816656908025,0.46627757839692613,"(3.2042617710942642, 3.871371542721786)",10,True,True,welch,-1.857412810070542,0.08015102106601835,0.08015102106601835,-0.7955619402269617,-0.44,,
Q-Learning,SARSA,final_reward,8.047999999999998,0.0063245553203371855,"(8.04347568567429, 8.052524314325707)",10,7.973999999999999,0.03977715704047006,"(7.945545136010517, 8.002454863989483)",10,False,True,mann-whitney,99.5,9.965466253848704e-05,0.00019930932507697407,2.488525574750369,0.99,,
